Geographic Area,Year,Population
Vermont,2017,624344.0
Virginia,2017,8463587.0
Washington,2017,7423362.0
West Virginia,2017,1817004.0
Wisconsin,2017,5790186.0
Wyoming,2017,578931.0
United States,2018,326687501.0
Northeast,2018,
Midwest,2018,
South,2018,
West,2018,
Alabama,2018,4887681.0
Alaska,2018,735139.0
Arizona,2018,7158024.0
Arkansas,2018,3009733.0
California,2018,39461588.0
Colorado,2018,5691287.0
Connecticut,2018,3571520.0
Delaware,2018,965479.0
District of Columbia,2018,701547.0
Florida,2018,21244317.0
Georgia,2018,10511131.0
Hawaii,2018,1420593.0
Idaho,2018,1750536.0
Illinois,2018,12723071.0
Indiana,2018,6695497.0
Iowa,2018,3148618.0
Kansas,2018,2911359.0
Kentucky,2018,4461153.0
Louisiana,2018,4659690.0
Maine,2018,1339057.0
Maryland,2018,6035802.0
Massachusetts,2018,6882635.0
Michigan,2018,9984072.0
Minnesota,2018,5606249.0
Mississippi,2018,2981020.0
Missouri,2018,6121623.0
Montana,2018,1060665.0
Nebraska,2018,1925614.0
Nevada,2018,3027341.0
New Hampshire,2018,1353465.0
New Jersey,2018,8886025.0
New Mexico,2018,2092741.0
New York,2018,19530351.0
North Carolina,2018,10381615.0
North Dakota,2018,758080.0
Ohio,2018,11676341.0
Oklahoma,2018,3940235.0
Oregon,2018,4181886.0
Pennsylvania,2018,12800922.0
Rhode Island,2018,1058287.0
South Carolina,2018,5084156.0
South Dakota,2018,878698.0
Tennessee,2018,6771631.0
Texas,2018,28628666.0
Utah,2018,3153550.0
Vermont,2018,624358.0
Virginia,2018,8501286.0
Washington,2018,7523869.0
West Virginia,2018,1804291.0
Wisconsin,2018,5807406.0
Wyoming,2018,577601.0
United States,2019,328239523.0
Northeast,2019,
Midwest,2019,
South,2019,
West,2019,
Alabama,2019,4903185.0
Alaska,2019,731545.0
Arizona,2019,7278717.0
Arkansas,2019,3017804.0
California,2019,39512223.0
Colorado,2019,5758736.0
Connecticut,2019,3565287.0
Delaware,2019,973764.0
District of Columbia,2019,705749.0
Florida,2019,21477737.0
Georgia,2019,10617423.0
Hawaii,2019,1415872.0
Idaho,2019,1787065.0
Illinois,2019,12671821.0
Indiana,2019,6732219.0
Iowa,2019,3155070.0
Kansas,2019,2913314.0
Kentucky,2019,4467673.0
Louisiana,2019,4648794.0
Maine,2019,1344212.0
Maryland,2019,6045680.0
Massachusetts,2019,6892503.0
Michigan,2019,9986857.0
Minnesota,2019,5639632.0
Mississippi,2019,2976149.0
Missouri,2019,6137428.0
Montana,2019,1068778.0
Nebraska,2019,1934408.0
Nevada,2019,3080156.0
New Hampshire,2019,1359711.0
New Jersey,2019,8882190.0
New Mexico,2019,2096829.0
New York,2019,19453561.0
North Carolina,2019,10488084.0
North Dakota,2019,762062.0
Ohio,2019,11689100.0
Oklahoma,2019,3956971.0
Oregon,2019,4217737.0
Pennsylvania,2019,12801989.0
Rhode Island,2019,1059361.0
South Carolina,2019,5148714.0
South Dakota,2019,884659.0
Tennessee,2019,6829174.0
Texas,2019,28995881.0
Utah,2019,3205958.0
Vermont,2019,623989.0
Virginia,2019,8535519.0
Washington,2019,7614893.0
West Virginia,2019,1792147.0
Wisconsin,2019,5822434.0
Wyoming,2019,578759.0
United States,2020,331449281.0
Northeast,2020,
Midwest,2020,
South,2020,
West,2020,
Alabama,2020,5024279.0
Alaska,2020,733391.0
Arizona,2020,7151502.0
Arkansas,2020,3011524.0
California,2020,39538223.0
Colorado,2020,5773714.0
Connecticut,2020,3605944.0
Delaware,2020,989948.0
District of Columbia,2020,689545.0
Florida,2020,21538187.0
Georgia,2020,10711908.0
Hawaii,2020,1455271.0
Idaho,2020,1839106.0
Illinois,2020,12812508.0
Indiana,2020,6785528.0
Iowa,2020,3190369.0
Kansas,2020,2937880.0
Kentucky,2020,4505836.0
Louisiana,2020,4657757.0
Maine,2020,1362359.0
Maryland,2020,6177224.0
Massachusetts,2020,7029917.0
Michigan,2020,10077331.0
Minnesota,2020,5706494.0
Mississippi,2020,2961279.0
Missouri,2020,6154913.0
Montana,2020,1084225.0
Nebraska,2020,1961504.0
Nevada,2020,3104614.0
New Hampshire,2020,1377529.0
New Jersey,2020,9288994.0
New Mexico,2020,2117522.0
New York,2020,20201249.0
North Carolina,2020,10439388.0
North Dakota,2020,779094.0
Ohio,2020,11799448.0
Oklahoma,2020,3959353.0
Oregon,2020,4237256.0
Pennsylvania,2020,13002700.0
Rhode Island,2020,1097379.0
South Carolina,2020,5118425.0
South Dakota,2020,886667.0
Tennessee,2020,6910840.0
Texas,2020,29145505.0
Utah,2020,3271616.0
Vermont,2020,643077.0
Virginia,2020,8631393.0
Washington,2020,7705281.0
West Virginia,2020,1793716.0
Wisconsin,2020,5893718.0
Wyoming,2020,576851.0
