Geographic Area,Year,Uninsured
District of Columbia,1999,76000.0
Florida,1999,2779000.0
Georgia,1999,1143000.0
Hawaii,1999,121000.0
Idaho,1999,224000.0
Illinois,1999,1571000.0
Indiana,1999,532000.0
Iowa,1999,198000.0
Kansas,1999,297000.0
Kentucky,1999,477000.0
Louisiana,1999,906000.0
Maine,1999,136000.0
Maryland,1999,524000.0
Massachusetts,1999,562000.0
Michigan,1999,974000.0
Minnesota,1999,327000.0
Mississippi,1999,420000.0
Missouri,1999,344000.0
Montana,1999,156000.0
Nebraska,1999,156000.0
Nevada,1999,374000.0
New Hampshire,1999,108000.0
New Jersey,1999,963000.0
New Mexico,1999,443000.0
New York,1999,2858000.0
North Carolina,1999,1052000.0
North Dakota,1999,67000.0
Ohio,1999,1092000.0
Oklahoma,1999,513000.0
Oregon,1999,455000.0
Pennsylvania,1999,922000.0
Rhode Island,1999,64000.0
South Carolina,1999,564000.0
South Dakota,1999,72000.0
Tennessee,1999,529000.0
Texas,1999,4463000.0
Utah,1999,284000.0
Vermont,1999,62000.0
Virginia,1999,828000.0
Washington,1999,757000.0
West Virginia,1999,263000.0
Wisconsin,1999,518000.0
Wyoming,1999,70000.0
